UDI,Product ID,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,TWF,HDF,PWF,OSF,RNF,temp_difference,torque_tool_interaction
28,H29441,H,299.1,309.4,1811,24.6,77,0,0,0,0,0,0,10.299999999999955,1894.2
29,L47208,L,299.1,309.4,1439,44.2,82,0,0,0,0,0,0,10.299999999999955,3624.4
30,L47209,L,299.0,309.4,1693,30.1,84,0,0,0,0,0,0,10.399999999999977,2528.4
31,M14890,M,299.1,309.5,1339,48.2,86,0,0,0,0,0,0,10.399999999999977,4145.2
32,L47211,L,299.0,309.4,1798,25.5,89,0,0,0,0,0,0,10.399999999999977,2269.5
33,L47212,L,299.0,309.4,1419,48.3,91,0,0,0,0,0,0,10.399999999999977,4395.3
34,L47213,L,298.9,309.3,1665,32.5,93,0,0,0,0,0,0,10.400000000000034,3022.5
35,M14894,M,298.8,309.1,1559,34.7,95,0,0,0,0,0,0,10.300000000000011,3296.5000000000005
36,M14895,M,298.8,309.2,1452,48.6,98,0,0,0,0,0,0,10.399999999999977,4762.8
37,M14896,M,298.9,309.2,1581,36.7,101,0,0,0,0,0,0,10.300000000000011,3706.7000000000003
38,L47217,L,298.8,309.1,1439,39.2,104,0,0,0,0,0,0,10.300000000000011,4076.8
39,H29452,H,298.9,309.2,1379,50.7,106,0,0,0,0,0,0,10.300000000000011,5374.200000000001
40,L47219,L,298.8,309.1,1350,52.5,111,0,0,0,0,0,0,10.300000000000011,5827.5
41,L47220,L,298.8,309.1,1362,45.4,113,0,0,0,0,0,0,10.300000000000011,5130.2
42,L47221,L,298.8,309.1,1368,50.8,115,0,0,0,0,0,0,10.300000000000011,5842.0
43,M14902,M,298.8,309.1,1368,49.1,117,0,0,0,0,0,0,10.300000000000011,5744.7
44,H29457,H,298.8,309.2,1372,48.5,120,0,0,0,0,0,0,10.399999999999977,5820.0
45,M14904,M,298.8,309.1,1472,47.5,125,0,0,0,0,0,0,10.300000000000011,5937.5
46,L47225,L,298.8,309.1,1489,49.1,128,0,0,0,0,0,0,10.300000000000011,6284.8
47,M14906,M,298.7,309.0,1843,25.8,130,0,0,0,0,0,0,10.300000000000011,3354.0
48,L47227,L,298.8,309.1,1418,46.3,133,0,0,0,0,0,0,10.300000000000011,6157.9
49,H29462,H,298.8,309.2,1425,53.9,135,0,0,0,0,0,0,10.399999999999977,7276.5
50,M14909,M,298.9,309.2,1412,44.1,140,0,0,0,0,0,0,10.300000000000011,6174.0
52,L47231,L,298.9,309.1,1383,54.9,145,0,0,0,0,0,0,10.200000000000045,7960.5
53,H29466,H,298.8,309.0,1497,43.8,147,0,0,0,0,0,0,10.199999999999989,6438.599999999999
54,L47233,L,298.7,309.0,1565,35.1,152,0,0,0,0,0,0,10.300000000000011,5335.2
55,L47234,L,298.7,309.0,1691,30.1,154,0,0,0,0,0,0,10.300000000000011,4635.400000000001
56,L47235,L,298.8,309.1,1512,40.7,156,0,0,0,0,0,0,10.300000000000011,6349.200000000001
57,L47236,L,298.8,309.1,1477,42.4,158,0,0,0,0,0,0,10.300000000000011,6699.2
58,L47237,L,298.8,309.1,1513,40.3,160,0,0,0,0,0,0,10.300000000000011,6448.0
59,M14918,M,298.8,309.0,1661,29.5,162,0,0,0,0,0,0,10.199999999999989,4779.0
60,L47239,L,298.8,309.1,1378,54.4,165,0,0,0,0,0,0,10.300000000000011,8976.0
61,L47240,L,298.8,309.1,1393,52.6,167,0,0,0,0,0,0,10.300000000000011,8784.2
62,M14921,M,298.8,309.0,1592,38.2,169,0,0,0,0,0,0,10.199999999999989,6455.8
63,L47242,L,298.8,309.0,1829,22.9,172,0,0,0,0,0,0,10.199999999999989,3938.7999999999997
64,M14923,M,298.9,309.0,1812,25.9,174,0,0,0,0,0,0,10.100000000000023,4506.599999999999
65,L47244,L,299.0,309.1,1523,38.6,177,0,0,0,0,0,0,10.100000000000023,6832.2
66,L47245,L,299.0,309.1,1394,45.1,179,0,0,0,0,0,0,10.100000000000023,8072.900000000001
67,M14926,M,298.9,308.9,1679,28.7,181,0,0,0,0,0,0,10.0,5194.7
68,H29481,H,298.8,308.9,1466,44.1,184,0,0,0,0,0,0,10.099999999999966,8114.400000000001
69,L47248,L,298.8,308.9,1527,32.4,189,0,0,0,0,0,0,10.099999999999966,6123.599999999999
70,L47249,L,298.9,309.0,1410,65.7,191,1,0,0,1,1,0,10.100000000000023,12548.7
72,L47251,L,298.9,309.1,1452,45.5,196,0,0,0,0,0,0,10.200000000000045,8918.0
73,L47252,L,298.9,309.1,1369,44.4,198,0,0,0,0,0,0,10.200000000000045,8791.199999999999
74,L47253,L,299.0,309.1,1592,35.0,200,0,0,0,0,0,0,10.100000000000023,7000.0
75,L47254,L,298.9,309.0,1601,32.3,202,0,0,0,0,0,0,10.100000000000023,6524.599999999999
76,L47255,L,298.8,308.9,1379,46.7,204,0,0,0,0,0,0,10.099999999999966,9526.800000000001
77,L47256,L,298.8,308.9,1461,47.9,206,0,0,0,0,0,0,10.099999999999966,9867.4
78,L47257,L,298.8,308.9,1455,41.3,208,1,1,0,0,0,0,10.099999999999966,8590.4
79,L47258,L,298.8,308.9,1398,51.5,0,0,0,0,0,0,0,10.099999999999966,0.0
80,L47259,L,298.8,308.9,1402,37.9,2,0,0,0,0,0,0,10.099999999999966,75.8
81,H29494,H,298.8,308.8,1445,49.9,4,0,0,0,0,0,0,10.0,199.6
82,L47261,L,298.9,308.9,1450,47.5,9,0,0,0,0,0,0,10.0,427.5
83,L47262,L,298.9,308.9,1453,40.8,11,0,0,0,0,0,0,10.0,448.79999999999995
84,L47263,L,299.0,309.0,1469,40.1,13,0,0,0,0,0,0,10.0,521.3000000000001
85,L47264,L,298.9,308.9,1422,47.6,15,0,0,0,0,0,0,10.0,714.0
86,M14945,M,299.0,309.0,1804,26.8,17,0,0,0,0,0,0,10.0,455.6
87,H29500,H,299.0,309.0,1436,43.9,20,0,0,0,0,0,0,10.0,878.0
88,L47267,L,299.0,309.0,1544,31.8,25,0,0,0,0,0,0,10.0,795.0
89,M14948,M,299.0,309.0,1419,45.2,27,0,0,0,0,0,0,10.0,1220.4
90,M14949,M,298.9,308.9,1487,39.5,30,0,0,0,0,0,0,10.0,1185.0
91,L47270,L,298.9,308.9,1753,25.8,33,0,0,0,0,0,0,10.0,851.4
92,L47271,L,298.9,308.9,1830,24.9,35,0,0,0,0,0,0,10.0,871.5
93,M14952,M,298.9,308.9,1727,27.1,37,0,0,0,0,0,0,10.0,1002.7
94,L47273,L,299.1,309.0,1450,43.0,40,0,0,0,0,0,0,9.899999999999977,1720.0
95,L47274,L,299.0,308.9,1622,31.9,42,0,0,0,0,0,0,9.899999999999977,1339.8
96,M14955,M,299.0,309.0,1351,52.2,44,0,0,0,0,0,0,10.0,2296.8
97,M14956,M,299.0,309.0,1575,35.3,47,0,0,0,0,0,0,10.0,1659.1
98,M14957,M,298.9,308.9,1750,29.9,50,0,0,0,0,0,0,10.0,1495.0
99,L47278,L,298.9,308.8,1529,32.7,53,0,0,0,0,0,0,9.900000000000034,1733.1000000000001
100,L47279,L,298.8,308.8,1523,44.4,55,0,0,0,0,0,0,10.0,2442.0
101,L47280,L,298.8,308.9,1852,25.0,57,0,0,0,0,0,0,10.099999999999966,1425.0
103,L47282,L,298.8,308.8,1555,40.6,61,0,0,0,0,0,0,10.0,2476.6
104,M14963,M,298.8,308.8,1441,40.5,63,0,0,0,0,0,0,10.0,2551.5
105,L47284,L,298.8,308.7,1450,43.4,66,0,0,0,0,0,0,9.899999999999977,2864.4
106,L47285,L,298.8,308.7,1591,31.1,68,0,0,0,0,0,0,9.899999999999977,2114.8
107,L47286,L,298.8,308.7,1445,48.5,70,0,0,0,0,0,0,9.899999999999977,3395.0
108,M14967,M,298.8,308.8,1497,46.8,72,0,0,0,0,0,0,10.0,3369.6
109,H29522,H,298.9,308.8,1621,32.7,75,0,0,0,0,0,0,9.900000000000034,2452.5
110,L47289,L,298.9,308.7,1572,34.1,80,0,0,0,0,0,0,9.800000000000011,2728.0
111,L47290,L,298.8,308.6,1872,22.5,82,0,0,0,0,0,0,9.800000000000011,1845.0
112,H29525,H,298.7,308.6,1499,43.5,84,0,0,0,0,0,0,9.900000000000034,3654.0
113,M14972,M,298.8,308.7,1498,39.5,89,0,0,0,0,0,0,9.899999999999977,3515.5
114,M14973,M,298.8,308.6,1486,41.9,92,0,0,0,0,0,0,9.800000000000011,3854.7999999999997
115,L47294,L,298.8,308.6,1680,29.4,95,0,0,0,0,0,0,9.800000000000011,2793.0
116,L47295,L,298.8,308.6,1431,45.7,97,0,0,0,0,0,0,9.800000000000011,4432.900000000001
117,L47296,L,298.9,308.7,1564,34.1,99,0,0,0,0,0,0,9.800000000000011,3375.9
118,L47297,L,298.8,308.6,1599,33.0,101,0,0,0,0,0,0,9.800000000000011,3333.0
119,M14978,M,298.8,308.6,1707,28.1,103,0,0,0,0,0,0,9.800000000000011,2894.3
120,L47299,L,298.7,308.5,1467,40.7,106,0,0,0,0,0,0,9.800000000000011,4314.200000000001
121,L47300,L,298.9,308.7,1433,44.7,108,0,0,0,0,0,0,9.800000000000011,4827.6
122,L47301,L,298.9,308.7,1558,41.2,110,0,0,0,0,0,0,9.800000000000011,4532.0
123,L47302,L,299.0,308.8,1310,50.7,112,0,0,0,0,0,0,9.800000000000011,5678.400000000001
124,L47303,L,298.9,308.7,1546,43.4,114,0,0,0,0,0,0,9.800000000000011,4947.599999999999
125,L47304,L,298.9,308.7,1727,29.4,116,0,0,0,0,0,0,9.800000000000011,3410.3999999999996
126,L47305,L,298.9,308.6,1560,32.2,118,0,0,0,0,0,0,9.700000000000045,3799.6000000000004
127,L47306,L,299.0,308.6,1329,60.5,120,0,0,0,0,0,0,9.600000000000023,7260.0
128,L47307,L,298.9,308.6,1413,46.5,122,0,0,0,0,0,0,9.700000000000045,5673.0
129,L47308,L,299.0,308.6,1587,38.6,124,0,0,0,0,0,0,9.600000000000023,4786.400000000001
130,L47309,L,298.9,308.5,1559,34.3,126,0,0,0,0,0,0,9.600000000000023,4321.799999999999
131,L47310,L,298.8,308.4,1473,41.1,128,0,0,0,0,0,0,9.599999999999966,5260.8
132,L47311,L,298.8,308.4,1737,27.7,130,0,0,0,0,0,0,9.599999999999966,3601.0
133,M14992,M,298.7,308.4,1441,43.2,132,0,0,0,0,0,0,9.699999999999989,5702.400000000001
134,M14993,M,298.7,308.4,1430,49.6,135,0,0,0,0,0,0,9.699999999999989,6696.0
135,L47314,L,298.8,308.4,1369,53.0,138,0,0,0,0,0,0,9.599999999999966,7314.0
136,M14995,M,298.8,308.5,1711,28.5,140,0,0,0,0,0,0,9.699999999999989,3990.0
137,H29550,H,298.7,308.5,1420,45.7,143,0,0,0,0,0,0,9.800000000000011,6535.1
138,L47317,L,298.7,308.6,1297,55.3,148,0,0,0,0,0,0,9.900000000000034,8184.4
139,H29552,H,298.8,308.6,1449,49.4,150,0,0,0,0,0,0,9.800000000000011,7410.0
140,L47319,L,298.8,308.6,1268,55.8,155,0,0,0,0,0,0,9.800000000000011,8649.0
141,L47320,L,298.8,308.6,1511,36.1,157,0,0,0,0,0,0,9.800000000000011,5667.7
142,L47321,L,298.7,308.5,1544,35.2,159,0,0,0,0,0,0,9.800000000000011,5596.8
143,M15002,M,298.6,308.4,1778,28.2,161,0,0,0,0,0,0,9.799999999999955,4540.2
144,H29557,H,298.6,308.4,1407,50.5,164,0,0,0,0,0,0,9.799999999999955,8282.0
145,M15004,M,298.6,308.4,1391,42.4,169,0,0,0,0,0,0,9.799999999999955,7165.599999999999
146,L47325,L,298.5,308.4,1513,33.6,172,0,0,0,0,0,0,9.899999999999977,5779.2
147,H29560,H,298.5,308.4,1612,36.1,174,0,0,0,0,0,0,9.899999999999977,6281.400000000001
148,L47327,L,298.4,308.4,1515,40.1,179,0,0,0,0,0,0,10.0,7177.900000000001
149,M15008,M,298.3,308.3,1379,48.0,181,0,0,0,0,0,0,10.0,8688.0
150,L47329,L,298.4,308.3,1473,39.9,184,0,0,0,0,0,0,9.900000000000034,7341.599999999999
151,L47330,L,298.4,308.3,1422,42.7,186,0,0,0,0,0,0,9.900000000000034,7942.200000000001
152,M15011,M,298.4,308.2,1463,37.6,188,0,0,0,0,0,0,9.800000000000011,7068.8
153,M15012,M,298.4,308.2,1584,41.0,191,0,0,0,0,0,0,9.800000000000011,7831.0
154,L47333,L,298.4,308.2,1850,27.0,194,0,0,0,0,0,0,9.800000000000011,5238.0
155,L47334,L,298.4,308.2,1528,36.2,196,0,0,0,0,0,0,9.800000000000011,7095.200000000001
157,M15016,M,298.4,308.1,1495,46.0,203,0,0,0,0,0,0,9.700000000000045,9338.0
158,H29571,H,298.4,308.2,1478,43.5,206,0,0,0,0,0,0,9.800000000000011,8961.0
159,M15018,M,298.4,308.2,1499,40.0,211,0,0,0,0,0,0,9.800000000000011,8440.0
160,L47339,L,298.4,308.2,1471,47.0,214,0,0,0,0,0,0,9.800000000000011,10058.0
162,L47341,L,298.3,308.1,1412,52.3,218,1,0,0,0,1,0,9.800000000000011,11401.4
163,L47342,L,298.3,308.1,1586,35.5,0,0,0,0,0,0,0,9.800000000000011,0.0
164,M15023,M,298.4,308.2,1468,43.8,2,0,0,0,0,0,0,9.800000000000011,87.6
165,M15024,M,298.5,308.3,1440,43.6,5,0,0,0,0,0,0,9.800000000000011,218.0
166,L47345,L,298.5,308.4,1733,26.0,8,0,0,0,0,0,0,9.899999999999977,208.0
167,H29580,H,298.4,308.2,1612,32.6,10,0,0,0,0,0,0,9.800000000000011,326.0
168,H29581,H,298.4,308.3,1458,42.9,15,0,0,0,0,0,0,9.900000000000034,643.5
169,L47348,L,298.4,308.3,1433,62.3,20,1,0,0,1,0,0,9.900000000000034,1246.0
170,L47349,L,298.4,308.3,1318,59.1,22,0,0,0,0,0,0,9.900000000000034,1300.2
171,M15030,M,298.4,308.2,1610,35.0,24,0,0,0,0,0,0,9.800000000000011,840.0
172,L47351,L,298.2,308.1,1462,50.8,27,0,0,0,0,0,0,9.900000000000034,1371.6
174,M15033,M,298.2,308.0,1591,33.7,32,0,0,0,0,0,0,9.800000000000011,1078.4
175,L47354,L,298.2,308.1,1306,58.3,35,0,0,0,0,0,0,9.900000000000034,2040.5
176,L47355,L,298.2,308.1,1382,43.5,37,0,0,0,0,0,0,9.900000000000034,1609.5
177,L47356,L,298.2,308.1,1618,34.7,39,0,0,0,0,0,0,9.900000000000034,1353.3000000000002
179,L47358,L,298.2,308.2,1436,50.2,43,0,0,0,0,0,0,10.0,2158.6
180,L47359,L,298.2,308.3,1304,49.8,45,0,0,0,0,0,0,10.100000000000023,2241.0
181,L47360,L,298.2,308.3,1475,49.9,47,0,0,0,0,0,0,10.100000000000023,2345.2999999999997
182,H29595,H,298.2,308.3,1824,24.2,49,0,0,0,0,0,0,10.100000000000023,1185.8
183,M15042,M,298.1,308.2,1342,48.1,54,0,0,0,0,0,0,10.099999999999966,2597.4
184,L47363,L,298.1,308.2,1485,40.7,57,0,0,0,0,0,0,10.099999999999966,2319.9
185,L47364,L,298.2,308.2,1667,30.6,59,0,0,0,0,0,0,10.0,1805.4
186,L47365,L,298.2,308.2,1446,38.2,61,0,0,0,0,0,0,10.0,2330.2000000000003
187,L47366,L,298.1,308.3,1301,56.0,63,0,0,0,0,0,0,10.199999999999989,3528.0
188,L47367,L,298.2,308.4,1379,43.1,65,0,0,0,0,0,0,10.199999999999989,2801.5
189,L47368,L,298.3,308.5,1606,33.6,67,0,0,0,0,0,0,10.199999999999989,2251.2000000000003
190,M15049,M,298.3,308.4,1539,43.4,69,0,0,0,0,0,0,10.099999999999966,2994.6
191,L47370,L,298.2,308.4,1477,49.9,72,0,0,0,0,0,0,10.199999999999989,3592.7999999999997
192,L47371,L,298.2,308.4,1666,34.6,74,0,0,0,0,0,0,10.199999999999989,2560.4
193,H29606,H,298.2,308.4,1398,51.8,76,0,0,0,0,0,0,10.199999999999989,3936.7999999999997
194,H29607,H,298.2,308.4,1678,34.6,81,0,0,0,0,0,0,10.199999999999989,2802.6
196,L47375,L,298.3,308.5,1453,42.9,89,0,0,0,0,0,0,10.199999999999989,3818.1
197,H29610,H,298.3,308.6,1432,49.5,91,0,0,0,0,0,0,10.300000000000011,4504.5
198,M15057,M,298.4,308.6,1527,40.9,96,0,0,0,0,0,0,10.200000000000045,3926.3999999999996
199,L47378,L,298.4,308.7,1588,35.0,99,0,0,0,0,0,0,10.300000000000011,3465.0
200,L47379,L,298.4,308.6,1433,47.1,101,0,0,0,0,0,0,10.200000000000045,4757.1
201,L47380,L,298.4,308.6,1609,35.0,103,0,0,0,0,0,0,10.200000000000045,3605.0
202,L47381,L,298.3,308.5,1575,41.2,105,0,0,0,0,0,0,10.199999999999989,4326.0
203,M15062,M,298.4,308.5,1636,35.7,107,0,0,0,0,0,0,10.100000000000023,3819.9
204,L47383,L,298.4,308.5,1490,37.9,110,0,0,0,0,0,0,10.100000000000023,4169.0
205,L47384,L,298.4,308.5,1741,32.8,112,0,0,0,0,0,0,10.100000000000023,3673.5999999999995
206,M15065,M,298.5,308.6,1344,53.0,114,0,0,0,0,0,0,10.100000000000023,6042.0
207,L47386,L,298.5,308.7,1609,35.3,117,0,0,0,0,0,0,10.199999999999989,4130.099999999999
208,M15067,M,298.4,308.7,1421,60.7,119,1,0,0,1,0,0,10.300000000000011,7223.3
209,L47388,L,298.4,308.6,1591,36.7,122,0,0,0,0,0,0,10.200000000000045,4477.400000000001
210,L47389,L,298.4,308.6,1477,44.0,124,0,0,0,0,0,0,10.200000000000045,5456.0
211,L47390,L,298.4,308.7,1523,36.1,126,0,0,0,0,0,0,10.300000000000011,4548.6
212,L47391,L,298.5,308.7,1575,33.9,128,0,0,0,0,0,0,10.199999999999989,4339.2
213,H29626,H,298.4,308.7,1344,52.9,130,0,0,0,0,0,0,10.300000000000011,6877.0
214,L47393,L,298.4,308.7,1386,44.9,135,0,0,0,0,0,0,10.300000000000011,6061.5
215,M15074,M,298.3,308.6,1589,37.1,137,0,0,0,0,0,0,10.300000000000011,5082.7
216,L47395,L,298.3,308.6,1548,40.3,140,0,0,0,0,0,0,10.300000000000011,5642.0
217,L47396,L,298.3,308.6,1499,38.3,142,0,0,0,0,0,0,10.300000000000011,5438.599999999999
218,L47397,L,298.3,308.5,1664,31.6,144,0,0,0,0,0,0,10.199999999999989,4550.400000000001
219,L47398,L,298.3,308.6,1447,38.1,146,0,0,0,0,0,0,10.300000000000011,5562.6
220,M15079,M,298.3,308.5,1434,46.2,148,0,0,0,0,0,0,10.199999999999989,6837.6
221,L47400,L,298.3,308.5,1416,52.7,151,0,0,0,0,0,0,10.199999999999989,7957.700000000001
222,H29635,H,298.4,308.5,1827,24.3,153,0,0,0,0,0,0,10.100000000000023,3717.9
223,L47402,L,298.4,308.6,1304,45.0,158,0,0,0,0,0,0,10.200000000000045,7110.0
224,L47403,L,298.4,308.6,1569,34.4,160,0,0,0,0,0,0,10.200000000000045,5504.0
225,L47404,L,298.3,308.6,1584,29.3,162,0,0,0,0,0,0,10.300000000000011,4746.6
226,L47405,L,298.3,308.5,1362,53.8,164,0,0,0,0,0,0,10.199999999999989,8823.199999999999
227,L47406,L,298.3,308.4,1329,49.2,166,0,0,0,0,0,0,10.099999999999966,8167.200000000001
228,L47407,L,298.3,308.5,1539,36.1,168,0,0,0,0,0,0,10.199999999999989,6064.8
229,M15088,M,298.3,308.5,1629,37.1,170,0,0,0,0,0,0,10.199999999999989,6307.0
230,L47409,L,298.3,308.5,1538,32.2,173,0,0,0,0,0,0,10.199999999999989,5570.6
231,L47410,L,298.3,308.6,1570,34.8,175,0,0,0,0,0,0,10.300000000000011,6089.999999999999
232,L47411,L,298.3,308.4,1408,43.1,177,0,0,0,0,0,0,10.099999999999966,7628.7
233,L47412,L,298.2,308.4,1424,47.6,179,0,0,0,0,0,0,10.199999999999989,8520.4
234,L47413,L,298.2,308.4,1512,34.9,181,0,0,0,0,0,0,10.199999999999989,6316.9
235,L47414,L,298.2,308.4,1478,42.9,183,0,0,0,0,0,0,10.199999999999989,7850.7
236,M15095,M,298.1,308.3,1680,33.7,185,0,0,0,0,0,0,10.199999999999989,6234.500000000001
237,L47416,L,298.1,308.3,1495,38.7,188,0,0,0,0,0,0,10.199999999999989,7275.6
238,M15097,M,298.0,308.1,1552,36.6,190,0,0,0,0,0,0,10.100000000000023,6954.0
239,L47418,L,297.9,308.1,1393,50.3,193,0,0,0,0,0,0,10.200000000000045,9707.9
240,L47419,L,298.0,308.2,1611,30.6,195,0,0,0,0,0,0,10.199999999999989,5967.0
241,M15100,M,298.0,308.1,1339,51.6,197,0,0,0,0,0,0,10.100000000000023,10165.2
242,L47421,L,298.0,308.1,1777,24.3,200,0,0,0,0,0,0,10.100000000000023,4860.0
243,L47422,L,298.0,308.2,1348,58.8,202,1,0,0,0,1,0,10.199999999999989,11877.599999999999
244,L47423,L,298.0,308.2,1442,44.1,204,0,0,0,0,0,0,10.199999999999989,8996.4
245,M15104,M,298.0,308.2,1395,49.1,206,0,0,0,0,0,0,10.199999999999989,10114.6
246,M15105,M,297.9,308.1,1627,31.4,209,0,0,0,0,0,0,10.200000000000045,6562.599999999999
247,L47426,L,297.9,308.1,1585,33.5,212,0,0,0,0,0,0,10.200000000000045,7102.0
248,L47427,L,298.0,308.2,1469,45.5,214,0,0,0,0,0,0,10.199999999999989,9737.0
249,L47428,L,298.0,308.3,1362,56.8,216,1,0,0,0,1,0,10.300000000000011,12268.8
250,L47429,L,298.0,308.3,1405,56.2,218,1,0,0,0,1,0,10.300000000000011,12251.6
251,L47430,L,298.0,308.3,1662,32.7,0,0,0,0,0,0,0,10.300000000000011,0.0
252,M15111,M,298.0,308.2,1466,42.6,2,0,0,0,0,0,0,10.199999999999989,85.2
253,L47432,L,298.0,308.2,1620,35.8,5,0,0,0,0,0,0,10.199999999999989,179.0
254,L47433,L,298.0,308.2,1357,48.2,7,0,0,0,0,0,0,10.199999999999989,337.40000000000003
255,L47434,L,298.0,308.2,1514,37.9,9,0,0,0,0,0,0,10.199999999999989,341.09999999999997
256,L47435,L,298.0,308.2,1489,40.4,11,0,0,0,0,0,0,10.199999999999989,444.4
257,L47436,L,298.1,308.3,1331,63.0,13,0,0,0,0,0,0,10.199999999999989,819.0
258,L47437,L,298.0,308.0,1615,29.5,15,0,0,0,0,0,0,10.0,442.5
259,L47438,L,298.1,308.2,1482,37.9,17,0,0,0,0,0,0,10.099999999999966,644.3
260,M15119,M,298.1,308.2,1420,63.9,19,1,0,0,1,0,0,10.099999999999966,1214.1
261,M15120,M,298.2,308.3,1522,49.1,22,0,0,0,0,0,0,10.100000000000023,1080.2
262,L47441,L,298.1,308.2,1654,32.1,25,0,0,0,0,0,0,10.099999999999966,802.5
263,M15122,M,298.1,308.2,1736,26.8,27,0,0,0,0,0,0,10.099999999999966,723.6
264,M15123,M,298.0,308.1,1587,32.3,30,0,0,0,0,0,0,10.100000000000023,968.9999999999999
265,L47444,L,298.1,308.2,1390,47.5,33,0,0,0,0,0,0,10.099999999999966,1567.5
266,L47445,L,298.0,308.1,1454,37.1,35,0,0,0,0,0,0,10.100000000000023,1298.5
267,H29680,H,298.0,308.1,1440,43.7,37,0,0,0,0,0,0,10.100000000000023,1616.9
269,H29682,H,297.9,308.0,1800,24.8,44,0,0,0,0,0,0,10.100000000000023,1091.2
270,L47449,L,298.0,308.0,1524,37.0,49,0,0,0,0,0,0,10.0,1813.0
271,H29684,H,298.0,308.0,1520,39.6,51,0,0,0,0,0,0,10.0,2019.6000000000001
272,M15131,M,298.1,308.1,1452,40.8,56,0,0,0,0,0,0,10.0,2284.7999999999997
273,L47452,L,298.1,308.1,1484,40.4,59,0,0,0,0,0,0,10.0,2383.6
274,L47453,L,298.1,308.0,1426,46.0,61,0,0,0,0,0,0,9.899999999999977,2806.0
275,L47454,L,298.1,308.0,1652,28.5,63,0,0,0,0,0,0,9.899999999999977,1795.5
276,L47455,L,298.0,308.0,1401,54.7,65,0,0,0,0,0,0,10.0,3555.5
277,M15136,M,298.0,307.9,1750,26.6,67,0,0,0,0,0,0,9.899999999999977,1782.2
278,H29691,H,298.0,308.0,1479,50.7,70,0,0,0,0,0,0,10.0,3549.0
279,M15138,M,298.0,308.0,1620,29.4,75,0,0,0,0,0,0,10.0,2205.0
280,L47459,L,298.0,308.1,1819,23.4,78,0,0,0,0,0,0,10.100000000000023,1825.1999999999998
281,M15140,M,298.1,308.1,1456,43.7,80,0,0,0,0,0,0,10.0,3496.0
282,L47461,L,298.1,308.0,1626,36.5,83,0,0,0,0,0,0,9.899999999999977,3029.5
283,M15142,M,298.1,308.1,1390,49.8,85,0,0,0,0,0,0,10.0,4233.0
284,L47463,L,298.2,308.2,1469,43.0,88,0,0,0,0,0,0,10.0,3784.0
286,L47465,L,298.2,308.3,1568,36.0,92,0,0,0,0,0,0,10.100000000000023,3312.0
287,L47466,L,298.2,308.3,1589,33.2,94,0,0,0,0,0,0,10.100000000000023,3120.8
